hsa-miR-135b;GAS5
hsa-miR-29c;XIST
hsa-miR-29b;HCP5
hsa-miR-346;GAS5
hsa-miR-346;KCNQ1OT1
hsa-miR-346;MALAT1
hsa-miR-4295;XIST
hsa-miR-4295;HOTAIR
hsa-miR-4295;KCNQ1OT1
hsa-miR-4295;MIR17HG
hsa-miR-202;XIST
hsa-miR-129;XIST
hsa-miR-130a;XIST
hsa-miR-130a;H19
hsa-miR-130a;KCNQ1OT1
hsa-miR-130a;MIR17HG
hsa-miR-139;XIST
hsa-miR-708;MALAT1
hsa-miR-34c;XIST
hsa-miR-34c;KCNQ1OT1
hsa-let-7a;TTTY15
hsa-miR-3167;GAS5
hsa-miR-3167;KCNQ1OT1
hsa-miR-613;HOTAIR
hsa-miR-613;MALAT1
hsa-miR-196a;XIST
hsa-miR-196a;TUG1
hsa-miR-26a;SNHG5
hsa-let-7i;TTTY15
hsa-miR-135a;XIST
hsa-miR-320d;HCG18
hsa-miR-16;SNHG12
hsa-miR-16;SNHG1
hsa-miR-16;PVT1
hsa-miR-15a;SNHG12
hsa-miR-15a;SNHG1
hsa-miR-15a;PVT1
hsa-miR-1297;GAS5
hsa-miR-1297;SNHG5
hsa-miR-1297;SNHG6
hsa-miR-17;PVT1
hsa-miR-18a;GAS5
hsa-miR-18a;SNHG1
hsa-miR-20a;PVT1
hsa-miR-20a;HCG18
hsa-miR-92a;SNHG5
hsa-miR-342;XIST
hsa-miR-433;XIST
hsa-miR-136;XIST
hsa-miR-370;XIST
hsa-miR-370;H19
hsa-miR-370;KCNQ1OT1
hsa-miR-370;HCG18
hsa-miR-379;XIST
hsa-miR-758;XIST
hsa-miR-329;XIST
hsa-miR-329;KCNQ1OT1
hsa-miR-494;XIST
hsa-miR-543;XIST
hsa-miR-495;XIST
hsa-miR-495;HCG18
hsa-miR-376c;XIST
hsa-miR-376c;KCNQ1OT1
hsa-miR-376a;MALAT1
hsa-miR-376b;MALAT1
hsa-miR-381;XIST
hsa-miR-539;XIST
hsa-miR-544a;GAS5
hsa-miR-544a;MALAT1
hsa-miR-134;KCNQ1OT1
hsa-miR-485;XIST
hsa-miR-154;XIST
hsa-miR-154;SNHG5
hsa-miR-496;HCG18
hsa-miR-377;XIST
hsa-miR-377;KCNQ1OT1
hsa-miR-377;SNHG5
hsa-miR-377;MIR17HG
hsa-miR-410;XIST
hsa-miR-211;XIST
hsa-miR-422a;MALAT1
hsa-miR-365a;XIST
hsa-miR-328;TUG1
hsa-miR-140;XIST
hsa-miR-140;HCP5
hsa-miR-132;XIST
hsa-miR-212;SNHG5
hsa-miR-195;XIST
hsa-miR-497;XIST
hsa-miR-144;MALAT1
hsa-miR-152;XIST
hsa-miR-152;HOTAIR
hsa-miR-454;HOTAIR
hsa-miR-301a;HOTAIR
hsa-miR-338;XIST
hsa-miR-338;MALAT1
hsa-miR-320c;XIST
hsa-miR-320c;SNHG12
hsa-miR-320c;HCG18
hsa-miR-320c;MALAT1
hsa-miR-122;XIST
hsa-miR-122;SNHG7
hsa-miR-24;PVT1
hsa-miR-181c;XIST
hsa-miR-181d;XIST
hsa-miR-181d;SNHG12
hsa-miR-150;XIST
hsa-miR-150;MALAT1
hsa-let-7e;TTTY15
hsa-miR-125a;KCNQ1OT1
hsa-miR-125a;TUG1
hsa-miR-520e;XIST
hsa-miR-520e;HCG18
hsa-miR-520e;MIR17HG
hsa-miR-520a;HCG18
hsa-miR-520a;MIR17HG
hsa-miR-520b;XIST
hsa-miR-520b;HCG18
hsa-miR-520b;MIR17HG
hsa-miR-520c;XIST
hsa-miR-520c;HCG18
hsa-miR-520c;MIR17HG
hsa-miR-519d;XIST
hsa-miR-519d;H19
hsa-miR-519d;HOTAIR
hsa-miR-519d;HCG18
hsa-miR-519d;MALAT1
hsa-miR-520d;XIST
hsa-miR-520d;HCG18
hsa-miR-520d;MIR17HG
hsa-miR-372;XIST
hsa-miR-372;HCG18
hsa-miR-372;MIR17HG
hsa-miR-373;XIST
hsa-miR-373;HCG18
hsa-miR-217;XIST
hsa-miR-217;HOTAIR
hsa-miR-216a;SNHG5
hsa-miR-216b;H19
hsa-miR-216b;TUG1
hsa-miR-216b;KCNQ1OT1
hsa-miR-10b;XIST
hsa-miR-153;XIST
hsa-miR-153;TUG1
hsa-miR-149;XIST
hsa-miR-499a;XIST
